URL,Image name,Twist,Corner pix,Frac OffX,Frac OffY,Error,,,Twist,Corner pix,Frac OffX,Frac OffY
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533091510_1_CALIB.IMG,N1533091510,0.0104,0.13143,-3.593,-3.199,1.09117,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533091550_1_CALIB.IMG,N1533091550,0.0124,0.15671,-2.838,-5.039,1.01206,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533091590_1_CALIB.IMG,N1533091590,0.012,0.15165,-3.01,-5.964,1.02086,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533091630_1_CALIB.IMG,N1533091630,0.0084,0.10616,-2.998,-6.711,0.95908,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533091670_1_CALIB.IMG,N1533091670,0.0092,0.11627,-4.602,-6.756,0.99675,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533091710_1_CALIB.IMG,N1533091710,0.012,0.15165,-4.426,-7.579,0.96307,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533093210_1_CALIB.IMG,N1533093210,0.008,0.1011,-8.609,0.093,1.11536,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533093250_1_CALIB.IMG,N1533093250,0.0096,0.12132,-8.487,-0.402,1.15425,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533093290_1_CALIB.IMG,N1533093290,0.0128,0.16176,-8.407,-1.137,0.98656,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533093330_1_CALIB.IMG,N1533093330,0.01,0.12638,-8.632,-1.526,1.11015,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533093370_1_CALIB.IMG,N1533093370,0.0116,0.1466,-7.615,-2.073,1.28859,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533093410_1_CALIB.IMG,N1533093410,0.0108,0.13649,-8.253,-1.082,0.99992,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533093450_1_CALIB.IMG,N1533093450,0.0144,0.18198,-9.006,-3.329,0.92705,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533093490_1_CALIB.IMG,N1533093490,0.0108,0.13649,-8.821,-4.045,1.0853,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533093530_1_CALIB.IMG,N1533093530,0.0112,0.14154,-8.737,-5.414,1.17725,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533093570_1_CALIB.IMG,N1533093570,0.01,0.12638,-8.639,-6.12,1.24047,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533095070_1_CALIB.IMG,N1533095070,0.0068,0.08594,-5.07,4.33,1.15023,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533095110_1_CALIB.IMG,N1533095110,0.008,0.1011,-4.473,3.837,1.04738,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533095150_1_CALIB.IMG,N1533095150,0.0092,0.11627,-4.003,3.161,1.08289,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533095190_1_CALIB.IMG,N1533095190,0.0092,0.11627,-3.944,3.386,1.04096,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533095230_1_CALIB.IMG,N1533095230,0.0116,0.1466,-2.77,2.758,1.03287,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533095270_1_CALIB.IMG,N1533095270,0.0116,0.1466,-3.383,3.047,1.1408,,,,,,
