image_id,camera,volume,file_spec,res_kmpx,res_band,face,opening_bin,obs_opening_deg,solar_opening_deg,phase_min_deg,phase_max_deg,ring_rmin_km,ring_rmax_km,regions,n_regions,n_catalog_edges,edge_rms_min_km,edge_rms_max_km,in_spokes_bundle,background,role
N1836779926_1,N,COISS_2102,data/1836779429_1836822297/N1836779926_1.LBL,102.144,100-300,lit,mid,11.31,25.98,106.9,107.3,60275,99551,C_inner+C_outer,2,33,0.08,0.94,False,sky,geometry-fill
W1883585911_1,W,COISS_2116,data/1883585911_1883641009/W1883585911_1.LBL,100.502,100-300,lit,open,40.47,26.69,117.3,119.6,98219,116914,B_inner_feats,1,4,0.11,0.14,False,mixed,geometry-fill
W1559627040_1,W,COISS_2032,data/1559509757_1559710245/W1559627040_1.LBL,134.178,100-300,unlit,mid,9.42,-12.18,51.7,55.3,118877,650310,CassiniDiv_mid+A_inner+Encke+Keeler_A_outer,4,30,0.1,10.18,False,sky,geometry-fill
W1464621381_1,W,COISS_2003,data/1464620747_1464768633/W1464621381_1.LBL,1026.955,1000-3000,lit,mid,-16.35,-24.7,65.7,69.3,61853,2866638,C_inner+C_outer+B_inner_feats+B_outer_huygens+CassiniDiv_mid+A_inner+Encke+Keeler_A_outer,8,79,0.08,10.18,False,mixed,geometry-fill
N1638880417_1,N,COISS_2059,data/1638879897_1638952267/N1638880417_1.LBL,1114.886,1000-3000,lit,near-plane,0.3,1.81,133.7,134.1,113051,706750,B_outer_huygens+CassiniDiv_mid+A_inner+Encke+Keeler_A_outer,5,42,0.09,10.18,False,sky,geometry-fill
W1625678627_1,W,COISS_2056,data/1625673819_1625759468/W1625678627_1.LBL,1014.257,1000-3000,unlit,mid,10.71,-0.53,136.6,140.9,78112,429538,C_inner+C_outer+B_inner_feats+B_outer_huygens+CassiniDiv_mid+A_inner+Encke+Keeler_A_outer,8,71,0.08,10.18,False,mixed,geometry-fill
N1585899014_1,N,COISS_2044,data/1585899014_1585900596/N1585899014_1.LBL,27.553,25-100,lit,mid,-14.8,-7.63,15.4,15.8,104023,116973,B_inner_feats,1,1,0.14,0.14,False,sky,geometry-fill
N1473289330_1,N,COISS_2006,data/1473237704_1473296557/N1473289330_1.LBL,300.293,300-1000,lit,mid,-16.76,-23.96,83.2,83.6,61263,112772,C_inner+C_outer+B_inner_feats,3,37,0.08,0.94,False,sky,geometry-fill
N1493959934_2,N,COISS_2012,data/1493944443_1493966860/N1493959934_2.LBL,302.225,300-1000,lit,near-plane,-0.4,-21.8,93.6,94.0,114231,1190375,B_outer_huygens+CassiniDiv_mid+A_inner+Encke+Keeler_A_outer,5,42,0.09,10.18,False,sky,geometry-fill
W1717426245_1,W,COISS_2074,data/1717300844_1717529466/W1717426245_1.LBL,822.829,300-1000,unlit,mid,-14.5,14.56,94.1,97.7,60390,131923,C_inner+C_outer+B_inner_feats+B_outer_huygens+CassiniDiv_mid+A_inner,6,62,0.08,7.56,False,mixed,geometry-fill
